"est_civ2","educ","nfil","sal","idade","reg"
"solteiro","EF",NA,4,26,"interior"
"casado","EF",1,4.56,32,"capital"
"casado","EF",2,5.25,36,"capital"
"solteiro","EM",NA,5.73,20,"outra"
"solteiro","EF",NA,6.26,40,"outra"
"casado","EF",0,6.66,28,"interior"
"solteiro","EF",NA,6.86,41,"interior"
"solteiro","EF",NA,7.39,43,"capital"
"casado","EM",1,7.59,34,"capital"
"solteiro","EM",NA,7.44,23,"outra"
"casado","EM",2,8.12,33,"interior"
"solteiro","EF",NA,8.46,27,"capital"
"solteiro","EM",NA,8.74,37,"outra"
"casado","EF",3,8.95,44,"outra"
"casado","EM",0,9.13,30,"interior"
"solteiro","EM",NA,9.35,38,"outra"
"casado","ES",1,9.77,31,"capital"
"casado","ES",2,9.8,39,"outra"
